Actual,Predicted,Residuals
4,9,-5
0,0,0
0,2,-2
7,4,3
1,1,0
1,5,-4
11,3,8
6,8,-2
5,0,5
0,0,0
1,8,-7
2,1,1
0,0,0
5,0,5
0,2,-2
14,0,14
2,0,2
23,0,23
1,0,1
33,13,20
1,0,1
2,18,-16
1,0,1
1,2,-1
0,3,-3
1,0,1
18,1,17
6,3,3
0,0,0
8,2,6
25,5,20
14,0,14
22,0,22
4,3,1
0,1,-1
0,1,-1
35,0,35
11,2,9
3,0,3
0,0,0
1,5,-4
0,0,0
2,0,2
21,0,21
3,0,3
2,14,-12
7,1,6
3,0,3
3,2,1
5,1,4
1,0,1
12,5,7
1,0,1
7,1,6
0,1,-1
0,2,-2
13,3,10
2,2,0
13,19,-6
1,2,-1
0,0,0
6,0,6
26,0,26
0,0,0
1,1,0
19,0,19
11,2,9
2,5,-3
17,0,17
2,0,2
7,4,3
3,1,2
0,0,0
18,0,18
12,0,12
12,2,10
6,0,6
1,0,1
19,4,15
7,0,7
7,0,7
37,2,35
5,5,0
10,2,8
12,4,8
7,2,5
2,2,0
2,0,2
6,1,5
1,0,1
18,3,15
6,2,4
0,0,0
1,8,-7
0,0,0
4,0,4
1,0,1
10,5,5
9,10,-1
3,0,3
9,2,7
11,2,9
28,1,27
10,2,8
1,0,1
4,0,4
4,10,-6
1,0,1
1,0,1
4,0,4
32,2,30
11,1,10
47,47,0
0,0,0
15,0,15
80,80,0
1,1,0
11,31,-20
0,17,-17
7,6,1
3,0,3
18,1,17
0,0,0
11,0,11
0,0,0
0,0,0
10,1,9
5,2,3
9,0,9
13,8,5
9,1,8
1,0,1
10,6,4
24,2,22
1,0,1
5,0,5
4,0,4
1,0,1
34,50,-16
0,7,-7
2,0,2
1,0,1
18,8,10
9,0,9
12,8,4
17,6,11
15,0,15
5,0,5
33,17,16
4,0,4
5,4,1
1,2,-1
7,0,7
4,1,3
5,0,5
10,9,1
8,0,8
5,1,4
11,3,8
15,16,-1
1,0,1
4,0,4
22,0,22
35,3,32
1,2,-1
1,0,1
0,0,0
1,51,-50
6,2,4
1,1,0
1,5,-4
3,1,2
0,1,-1
5,0,5
2,5,-3
0,0,0
14,0,14
1,0,1
6,1,5
13,0,13
0,1,-1
7,1,6
36,13,23
5,1,4
7,0,7
0,4,-4
6,1,5
5,5,0
4,0,4
1,0,1
12,1,11
0,0,0
1,2,-1
3,0,3
9,1,8
8,8,0
16,5,11
27,4,23
3,0,3
0,2,-2
2,0,2
0,0,0
1,3,-2
22,1,21
4,0,4
6,0,6
0,0,0
43,0,43
4,0,4
32,1,31
13,0,13
0,4,-4
3,2,1
18,0,18
8,3,5
3,0,3
3,0,3
1,1,0
0,0,0
1,4,-3
0,0,0
6,0,6
5,0,5
7,0,7
21,6,15
0,0,0
7,1,6
5,0,5
4,2,2
2,1,1
11,8,3
1,0,1
1,1,0
7,0,7
33,17,16
10,62,-52
4,0,4
19,2,17
0,0,0
1,0,1
1,0,1
10,0,10
2,1,1
3,4,-1
7,16,-9
0,0,0
3,4,-1
8,51,-43
9,2,7
0,1,-1
7,0,7
3,0,3
8,2,6
12,1,11
1,0,1
2,1,1
5,12,-7
2,6,-4
5,0,5
1,0,1
16,17,-1
8,7,1
0,0,0
5,3,2
3,1,2
0,1,-1
3,0,3
2,0,2
21,5,16
34,2,32
7,0,7
2,0,2
9,8,1
31,2,29
4,1,3
4,0,4
11,0,11
1,0,1
0,0,0
1,1,0
0,0,0
2,8,-6
1,0,1
1,0,1
1,0,1
13,3,10
5,0,5
2,0,2
2,1,1
6,1,5
12,2,10
16,0,16
6,0,6
6,6,0
1,0,1
6,5,1
4,0,4
0,0,0
2,0,2
0,0,0
0,92,-92
2,4,-2
20,1,19
0,0,0
1,0,1
2,8,-6
0,0,0
1,0,1
3,1,2
0,0,0
0,0,0
6,2,4
0,1,-1
17,5,12
5,8,-3
5,0,5
13,0,13
4,0,4
7,43,-36
6,1,5
0,0,0
4,2,2
0,0,0
1,4,-3
1,0,1
10,8,2
5,0,5
5,2,3
1,2,-1
1,1,0
3,0,3
0,3,-3
0,0,0
1,2,-1
9,1,8
1,0,1
0,0,0
2,0,2
6,0,6
0,0,0
3,17,-14
6,0,6
2,1,1
3,2,1
22,4,18
10,1,9
0,0,0
6,6,0
0,0,0
18,0,18
3,0,3
2,1,1
2,0,2
4,2,2
0,0,0
3,4,-1
10,1,9
0,0,0
7,6,1
15,4,11
10,5,5
9,13,-4
35,0,35
2,1,1
5,0,5
10,56,-46
1,1,0
0,0,0
7,2,5
4,0,4
17,0,17
2,0,2
33,1,32
6,1,5
2,2,0
0,0,0
7,2,5
1,1,0
0,0,0
0,1,-1
24,6,18
16,0,16
2,44,-42
6,2,4
6,0,6
29,29,0
0,0,0
3,4,-1
5,1,4
7,2,5
17,0,17
0,0,0
5,1,4
7,6,1
0,0,0
4,1,3
7,2,5
1,1,0
5,1,4
7,0,7
1,0,1
3,1,2
0,2,-2
5,1,4
1,0,1
2,0,2
2,0,2
0,7,-7
13,0,13
5,8,-3
7,7,0
9,3,6
5,13,-8
13,52,-39
24,2,22
3,0,3
0,0,0
0,11,-11
6,0,6
17,0,17
1,0,1
1,0,1
5,4,1
9,0,9
5,3,2
13,7,6
0,0,0
0,0,0
4,4,0
7,1,6
1,0,1
14,1,13
4,0,4
5,0,5
9,2,7
5,4,1
0,1,-1
18,37,-19
2,4,-2
15,1,14
1,0,1
9,5,4
7,4,3
8,4,4
27,3,24
1,0,1
6,1,5
3,1,2
36,1,35
0,0,0
4,0,4
8,1,7
0,0,0
4,1,3
8,9,-1
8,1,7
2,0,2
0,0,0
1,0,1
0,0,0
0,0,0
12,10,2
5,1,4
0,0,0
18,7,11
10,6,4
0,0,0
0,0,0
3,5,-2
0,0,0
13,2,11
0,1,-1
1,0,1
3,0,3
10,0,10
7,1,6
2,0,2
0,0,0
8,2,6
31,12,19
14,5,9
6,0,6
2,5,-3
0,0,0
38,0,38
13,1,12
0,0,0
1,2,-1
0,0,0
9,3,6
6,4,2
3,0,3
2,0,2
1,5,-4
3,1,2
15,0,15
3,0,3
1,0,1
4,13,-9
0,0,0
0,0,0
21,3,18
6,1,5
5,7,-2
6,0,6
11,0,11
17,10,7
13,0,13
9,2,7
6,0,6
1,0,1
3,3,0
8,0,8
6,1,5
40,0,40
2,4,-2
8,0,8
1,0,1
5,2,3
13,8,5
1,2,-1
11,1,10
10,1,9
1,1,0
0,0,0
2,38,-36
16,5,11
7,2,5
1,0,1
2,0,2
5,1,4
7,2,5
1,0,1
1,2,-1
9,1,8
1,0,1
44,0,44
0,0,0
0,19,-19
1,9,-8
1,3,-2
1,0,1
17,1,16
5,6,-1
20,16,4
17,1,16
1,4,-3
5,0,5
7,0,7
5,0,5
0,0,0
6,0,6
22,1,21
0,0,0
6,3,3
9,5,4
0,0,0
2,0,2
0,0,0
5,0,5
24,12,12
6,1,5
6,0,6
9,0,9
0,2,-2
35,48,-13
10,7,3
0,2,-2
2,1,1
1,1,0
4,1,3
0,0,0
7,2,5
4,2,2
7,8,-1
0,0,0
0,0,0
0,0,0
8,0,8
15,0,15
10,10,0
2,5,-3
9,4,5
1,1,0
9,1,8
2,1,1
1,0,1
3,0,3
2,7,-5
4,0,4
10,0,10
12,1,11
6,0,6
13,4,9
3,8,-5
1,0,1
5,0,5
0,0,0
1,1,0
3,1,2
0,0,0
0,0,0
1,0,1
36,0,36
49,34,15
1,1,0
0,0,0
0,0,0
0,1,-1
32,1,31
3,2,1
13,2,11
1,0,1
1,1,0
0,0,0
10,11,-1
0,0,0
2,0,2
10,8,2
14,1,13
6,0,6
3,0,3
0,0,0
7,5,2
0,1,-1
58,58,0
0,0,0
19,19,0
16,2,14
5,2,3
0,0,0
6,0,6
2,4,-2
3,4,-1
21,0,21
6,21,-15
0,3,-3
3,5,-2
5,6,-1
1,2,-1
3,2,1
9,0,9
1,0,1
2,1,1
0,0,0
1,1,0
23,1,22
0,1,-1
1,2,-1
1,0,1
0,2,-2
26,1,25
6,4,2
3,1,2
6,0,6
7,5,2
15,7,8
1,0,1
15,5,10
5,0,5
3,0,3
2,1,1
3,1,2
3,0,3
0,0,0
16,1,15
0,1,-1
0,0,0
50,50,0
2,0,2
0,0,0
14,1,13
2,5,-3
3,3,0
13,1,12
8,0,8
9,3,6
28,2,26
8,4,4
3,0,3
11,1,10
23,5,18
0,0,0
46,1,45
13,2,11
0,0,0
0,0,0
4,4,0
6,2,4
1,6,-5
16,3,13
4,1,3
1,6,-5
3,1,2
0,0,0
6,17,-11
24,0,24
0,0,0
4,1,3
61,25,36
9,7,2
30,0,30
8,3,5
2,0,2
12,0,12
0,0,0
7,1,6
2,4,-2
1,4,-3
0,2,-2
0,0,0
24,0,24
0,0,0
1,2,-1
2,1,1
0,0,0
12,3,9
1,0,1
10,3,7
1,0,1
10,8,2
9,2,7
1,0,1
16,4,12
2,4,-2
0,0,0
1,0,1
1,2,-1
5,4,1
1,0,1
7,2,5
14,11,3
20,2,18
1,0,1
0,0,0
1,2,-1
23,2,21
31,0,31
0,0,0
1,0,1
0,0,0
6,0,6
0,0,0
12,4,8
6,9,-3
4,0,4
7,1,6
3,8,-5
2,0,2
6,0,6
25,8,17
1,1,0
0,0,0
5,1,4
0,1,-1
2,1,1
8,5,3
1,1,0
3,1,2
3,7,-4
0,2,-2
2,0,2
7,4,3
5,2,3
2,3,-1
0,0,0
6,0,6
0,2,-2
3,1,2
11,4,7
21,0,21
2,3,-1
18,1,17
0,0,0
0,0,0
17,0,17
0,0,0
2,8,-6
1,2,-1
32,0,32
10,1,9
15,2,13
4,7,-3
5,0,5
1,13,-12
2,7,-5
18,18,0
6,0,6
12,0,12
25,0,25
1,1,0
2,2,0
43,13,30
7,3,4
3,0,3
6,1,5
0,0,0
7,3,4
0,0,0
6,0,6
47,0,47
12,0,12
50,9,41
4,1,3
1,0,1
8,8,0
1,0,1
8,0,8
4,1,3
17,0,17
6,0,6
0,0,0
2,0,2
17,2,15
0,0,0
0,0,0
1,1,0
0,0,0
13,1,12
30,30,0
1,1,0
1,0,1
0,0,0
0,12,-12
1,0,1
2,0,2
0,0,0
0,0,0
0,0,0
10,0,10
9,0,9
2,0,2
1,1,0
9,12,-3
8,4,4
2,10,-8
6,7,-1
0,0,0
3,10,-7
34,0,34
7,0,7
22,0,22
11,3,8
0,1,-1
4,2,2
16,1,15
14,0,14
0,0,0
0,1,-1
6,1,5
2,0,2
9,2,7
1,1,0
5,2,3
0,14,-14
3,0,3
5,1,4
8,4,4
7,0,7
2,0,2
7,0,7
14,0,14
0,0,0
4,0,4
3,0,3
1,0,1
0,4,-4
0,0,0
0,9,-9
7,0,7
0,2,-2
0,0,0
0,5,-5
6,1,5
2,2,0
16,3,13
0,0,0
27,1,26
0,0,0
2,0,2
2,6,-4
2,4,-2
0,0,0
1,0,1
0,0,0
13,5,8
1,1,0
3,6,-3
0,1,-1
0,0,0
30,0,30
0,1,-1
7,5,2
5,0,5
6,1,5
4,0,4
7,1,6
6,1,5
9,0,9
1,2,-1
1,2,-1
0,0,0
2,0,2
4,1,3
18,5,13
0,0,0
0,0,0
5,1,4
1,0,1
5,3,2
6,2,4
7,0,7
3,0,3
0,0,0
23,0,23
21,9,12
4,1,3
3,3,0
1,0,1
7,13,-6
9,1,8
14,0,14
36,1,35
3,3,0
17,1,16
6,1,5
0,0,0
2,1,1
14,2,12
4,1,3
0,0,0
0,1,-1
0,0,0
0,2,-2
10,1,9
0,0,0
3,0,3
11,5,6
1,0,1
2,0,2
18,1,17
12,2,10
12,7,5
2,0,2
2,0,2
5,0,5
1,2,-1
2,0,2
4,1,3
5,1,4
12,4,8
5,5,0
1,1,0
0,0,0
7,3,4
1,0,1
18,15,3
1,0,1
8,0,8
4,5,-1
5,1,4
10,8,2
5,0,5
8,5,3
4,1,3
11,10,1
10,0,10
5,2,3
6,1,5
1,0,1
0,0,0
5,2,3
27,0,27
2,25,-23
3,0,3
2,0,2
4,4,0
0,0,0
3,1,2
16,7,9
0,0,0
8,3,5
4,0,4
12,4,8
10,2,8
5,0,5
9,1,8
7,0,7
4,0,4
0,0,0
0,0,0
2,0,2
0,3,-3
4,0,4
9,0,9
2,1,1
30,3,27
0,0,0
3,9,-6
13,5,8
0,0,0
8,0,8
1,1,0
7,1,6
0,1,-1
1,0,1
1,0,1
5,1,4
1,50,-49
1,0,1
4,3,1
0,1,-1
9,0,9
23,0,23
12,4,8
4,0,4
5,8,-3
7,1,6
0,1,-1
33,0,33
5,2,3
12,0,12
46,3,43
2,1,1
15,2,13
0,1,-1
17,1,16
8,1,7
8,1,7
1,1,0
0,0,0
1,1,0
2,1,1
4,20,-16
0,2,-2
16,2,14
10,6,4
0,1,-1
4,12,-8
2,1,1
1,8,-7
0,0,0
1,1,0
7,0,7
1,0,1
1,19,-18
1,1,0
3,3,0
8,0,8
0,7,-7
1,0,1
0,2,-2
9,0,9
4,0,4
2,2,0
2,0,2
9,6,3
38,5,33
2,4,-2
1,1,0
14,2,12
7,0,7
7,13,-6
2,0,2
0,0,0
36,4,32
6,1,5
9,6,3
35,14,21
7,1,6
2,0,2
17,0,17
16,22,-6
0,0,0
27,0,27
32,0,32
1,0,1
6,0,6
3,0,3
0,17,-17
1,0,1
5,1,4
3,1,2
5,2,3
5,0,5
1,0,1
4,1,3
1,0,1
3,1,2
10,3,7
9,0,9
0,0,0
18,0,18
8,0,8
2,0,2
2,0,2
2,1,1
6,0,6
3,0,3
1,2,-1
4,0,4
2,0,2
10,0,10
1,1,0
3,0,3
4,19,-15
3,3,0
0,1,-1
5,0,5
2,0,2
1,0,1
4,1,3
1,4,-3
3,1,2
13,1,12
4,0,4
3,6,-3
2,0,2
1,0,1
1,0,1
0,0,0
1,4,-3
7,0,7
5,72,-67
8,1,7
24,0,24
3,8,-5
10,1,9
19,1,18
0,0,0
36,29,7
0,0,0
0,0,0
6,1,5
5,1,4
27,1,26
2,3,-1
22,1,21
10,7,3
1,1,0
2,0,2
16,3,13
0,0,0
10,4,6
2,0,2
0,0,0
0,0,0
9,1,8
11,7,4
3,0,3
11,0,11
0,0,0
0,10,-10
21,2,19
1,0,1
16,3,13
2,0,2
16,4,12
0,2,-2
5,0,5
8,0,8
14,0,14
0,0,0
37,0,37
6,1,5
5,2,3
13,2,11
11,0,11
1,4,-3
23,1,22
6,0,6
6,4,2
1,0,1
2,2,0
3,0,3
8,0,8
1,0,1
0,0,0
6,0,6
0,0,0
0,1,-1
4,0,4
14,2,12
2,0,2
14,1,13
34,8,26
41,31,10
4,0,4
0,0,0
11,14,-3
5,5,0
1,12,-11
2,0,2
2,4,-2
1,0,1
4,0,4
0,0,0
5,2,3
13,0,13
1,2,-1
7,1,6
3,0,3
19,4,15
39,0,39
10,10,0
0,0,0
2,0,2
0,1,-1
2,2,0
0,0,0
7,2,5
2,0,2
11,3,8
3,0,3
11,8,3
1,0,1
14,1,13
2,0,2
4,2,2
16,10,6
2,1,1
3,1,2
1,1,0
0,0,0
0,0,0
4,2,2
3,8,-5
1,0,1
6,0,6
1,2,-1
5,5,0
6,2,4
8,0,8
0,0,0
21,1,20
8,1,7
0,4,-4
1,1,0
0,1,-1
3,1,2
1,1,0
3,2,1
10,17,-7
3,0,3
16,0,16
0,0,0
0,2,-2
11,0,11
27,5,22
21,0,21
14,0,14
6,0,6
14,2,12
9,4,5
16,0,16
1,1,0
6,4,2
8,3,5
0,0,0
1,0,1
0,48,-48
0,1,-1
10,0,10
45,51,-6
2,0,2
71,71,0
13,10,3
6,9,-3
0,2,-2
9,0,9
0,0,0
1,4,-3
5,2,3
0,0,0
3,2,1
4,2,2
9,14,-5
2,4,-2
6,71,-65
1,1,0
8,5,3
0,0,0
2,0,2
6,20,-14
0,0,0
11,9,2
2,3,-1
18,0,18
6,1,5
17,17,0
0,1,-1
0,1,-1
113,113,0
15,13,2
1,1,0
0,0,0
26,2,24
72,72,0
0,0,0
7,4,3
2,1,1
8,4,4
12,0,12
1,3,-2
4,0,4
27,1,26
19,4,15
0,0,0
0,0,0
1,0,1
1,1,0
0,0,0
12,3,9
8,1,7
0,1,-1
1,0,1
0,0,0
1,2,-1
3,0,3
2,1,1
2,0,2
20,0,20
4,0,4
1,0,1
1,1,0
5,0,5
1,1,0
0,1,-1
1,0,1
9,1,8
14,1,13
4,0,4
0,1,-1
14,0,14
8,5,3
1,0,1
3,0,3
18,0,18
8,3,5
16,0,16
0,0,0
1,1,0
2,0,2
2,0,2
2,0,2
8,0,8
3,0,3
3,12,-9
10,5,5
0,0,0
35,0,35
1,0,1
4,2,2
4,0,4
3,4,-1
5,0,5
0,0,0
10,0,10
0,0,0
8,0,8
10,22,-12
0,0,0
2,0,2
0,0,0
6,9,-3
3,3,0
0,5,-5
0,0,0
5,4,1
2,1,1
37,53,-16
6,3,3
3,0,3
3,1,2
13,1,12
1,5,-4
5,0,5
0,0,0
14,3,11
1,1,0
7,0,7
8,6,2
34,2,32
0,0,0
1,0,1
7,0,7
12,0,12
6,9,-3
1,0,1
0,0,0
4,2,2
5,21,-16
0,2,-2
14,0,14
0,0,0
31,1,30
8,2,6
12,0,12
1,0,1
1,0,1
0,0,0
1,0,1
10,1,9
2,0,2
0,0,0
5,0,5
2,3,-1
11,0,11
2,0,2
2,0,2
19,0,19
0,0,0
8,17,-9
12,4,8
17,1,16
0,0,0
12,3,9
1,3,-2
0,0,0
0,0,0
10,9,1
0,6,-6
12,1,11
1,0,1
8,0,8
8,5,3
3,0,3
0,0,0
12,0,12
4,1,3
1,2,-1
2,2,0
5,0,5
8,4,4
6,3,3
6,1,5
0,0,0
4,8,-4
0,0,0
12,8,4
1,0,1
2,1,1
3,0,3
1,0,1
0,0,0
5,4,1
8,11,-3
5,4,1
1,2,-1
3,1,2
3,0,3
4,0,4
0,0,0
37,1,36
0,0,0
21,17,4
0,0,0
1,0,1
12,0,12
2,0,2
3,0,3
4,4,0
4,2,2
0,0,0
5,1,4
22,2,20
1,0,1
1,0,1
4,1,3
5,1,4
0,1,-1
0,0,0
3,0,3
2,2,0
1,5,-4
0,0,0
6,3,3
2,2,0
1,0,1
1,1,0
15,3,12
3,2,1
1,3,-2
4,5,-1
0,2,-2
4,2,2
8,0,8
9,0,9
6,4,2
10,5,5
0,0,0
0,0,0
5,0,5
8,2,6
4,13,-9
1,0,1
1,0,1
1,0,1
1,0,1
18,1,17
11,1,10
1,0,1
0,0,0
8,13,-5
8,30,-22
0,2,-2
4,0,4
0,5,-5
36,21,15
1,0,1
9,6,3
0,0,0
2,0,2
8,2,6
3,0,3
5,0,5
44,30,14
4,1,3
8,1,7
5,1,4
5,1,4
8,8,0
1,1,0
8,0,8
2,0,2
6,1,5
0,1,-1
0,0,0
47,0,47
1,0,1
9,0,9
0,0,0
0,0,0
12,1,11
1,1,0
13,13,0
0,0,0
6,0,6
42,1,41
1,0,1
4,1,3
6,0,6
3,0,3
4,5,-1
28,59,-31
40,3,37
9,0,9
5,2,3
0,2,-2
0,0,0
1,0,1
5,2,3
2,0,2
0,0,0
0,2,-2
9,2,7
2,1,1
3,3,0
0,0,0
4,6,-2
1,0,1
8,1,7
1,1,0
0,2,-2
4,17,-13
0,1,-1
3,2,1
5,1,4
3,0,3
2,1,1
0,0,0
0,0,0
0,1,-1
0,0,0
0,0,0
0,0,0
7,0,7
4,0,4
0,0,0
5,0,5
14,0,14
2,2,0
3,0,3
0,0,0
2,74,-72
5,0,5
3,3,0
0,1,-1
0,2,-2
1,25,-24
0,0,0
1,0,1
1,0,1
17,1,16
36,16,20
1,0,1
9,3,6
3,1,2
1,1,0
0,0,0
4,1,3
8,0,8
0,1,-1
3,0,3
6,0,6
4,0,4
6,0,6
5,0,5
17,0,17
24,2,22
0,0,0
1,1,0
36,15,21
13,5,8
21,2,19
5,1,4
3,7,-4
3,1,2
1,0,1
2,0,2
1,0,1
10,6,4
2,1,1
1,0,1
4,49,-45
6,0,6
0,4,-4
10,2,8
7,1,6
0,0,0
0,0,0
24,0,24
0,0,0
7,0,7
1,7,-6
2,0,2
4,2,2
1,0,1
1,0,1
13,1,12
1,0,1
1,5,-4
2,4,-2
0,2,-2
0,1,-1
3,0,3
0,0,0
4,0,4
5,0,5
11,5,6
1,0,1
8,1,7
5,0,5
1,0,1
0,0,0
5,1,4
2,0,2
14,3,11
1,0,1
4,3,1
3,21,-18
7,0,7
0,1,-1
10,17,-7
1,4,-3
3,5,-2
23,1,22
8,2,6
2,2,0
5,1,4
12,2,10
1,1,0
0,0,0
7,0,7
1,0,1
0,0,0
3,0,3
3,6,-3
0,0,0
5,1,4
0,0,0
13,0,13
0,0,0
1,0,1
4,2,2
6,0,6
24,8,16
4,4,0
6,7,-1
0,1,-1
0,0,0
0,5,-5
10,0,10
0,1,-1
4,8,-4
0,0,0
1,0,1
6,0,6
12,1,11
8,1,7
8,1,7
3,5,-2
21,6,15
0,1,-1
0,0,0
0,0,0
5,1,4
1,0,1
0,0,0
6,1,5
6,0,6
23,1,22
4,5,-1
16,71,-55
7,0,7
7,1,6
0,0,0
1,7,-6
4,5,-1
7,1,6
23,1,22
1,2,-1
1,0,1
0,0,0
0,0,0
0,0,0
2,1,1
3,4,-1
22,5,17
14,6,8
14,5,9
2,0,2
8,0,8
5,0,5
21,1,20
2,0,2
12,0,12
13,17,-4
42,0,42
0,0,0
1,0,1
1,0,1
21,20,1
36,2,34
4,1,3
51,4,47
4,4,0
0,0,0
5,4,1
3,1,2
3,6,-3
2,0,2
7,2,5
4,0,4
2,0,2
7,4,3
3,1,2
0,3,-3
4,1,3
0,6,-6
9,8,1
2,1,1
5,0,5
16,13,3
7,1,6
4,5,-1
0,0,0
0,0,0
1,0,1
8,6,2
2,10,-8
7,0,7
0,0,0
0,0,0
5,0,5
1,0,1
12,3,9
0,0,0
9,4,5
3,4,-1
12,3,9
7,0,7
0,0,0
2,0,2
0,0,0
7,1,6
9,12,-3
6,4,2
6,6,0
3,0,3
4,1,3
0,0,0
20,14,6
9,2,7
3,3,0
1,5,-4
6,7,-1
9,0,9
1,0,1
8,1,7
0,2,-2
2,0,2
0,2,-2
8,4,4
12,7,5
3,0,3
0,0,0
1,0,1
3,0,3
1,1,0
3,0,3
3,0,3
2,29,-27
4,4,0
3,0,3
1,1,0
0,0,0
5,1,4
0,0,0
20,0,20
1,0,1
1,1,0
4,2,2
3,0,3
3,2,1
9,5,4
4,2,2
0,0,0
0,1,-1
1,0,1
18,65,-47
0,1,-1
6,0,6
0,0,0
1,1,0
2,3,-1
10,2,8
0,0,0
3,1,2
6,0,6
0,0,0
31,5,26
1,1,0
1,0,1
4,0,4
5,0,5
0,0,0
11,4,7
1,0,1
8,0,8
2,2,0
4,2,2
4,0,4
14,12,2
7,3,4
0,0,0
21,5,16
0,0,0
0,31,-31
1,4,-3
17,1,16
9,7,2
6,0,6
0,0,0
0,0,0
11,0,11
0,0,0
4,4,0
5,1,4
1,1,0
0,5,-5
33,0,33
9,2,7
0,0,0
6,0,6
4,22,-18
2,1,1
0,0,0
20,3,17
2,0,2
9,65,-56
0,77,-77
0,0,0
0,0,0
13,0,13
3,6,-3
22,0,22
9,0,9
7,4,3
1,1,0
1,0,1
3,4,-1
1,0,1
1,0,1
43,42,1
2,0,2
0,2,-2
24,18,6
1,1,0
3,0,3
5,2,3
1,0,1
0,1,-1
2,0,2
2,0,2
12,1,11
17,1,16
0,0,0
33,13,20
10,1,9
2,0,2
7,0,7
0,0,0
11,0,11
2,0,2
0,78,-78
0,0,0
3,4,-1
2,1,1
22,0,22
1,0,1
10,0,10
0,0,0
49,2,47
6,1,5
13,0,13
3,17,-14
1,0,1
0,1,-1
0,0,0
4,3,1
23,3,20
5,5,0
5,1,4
5,5,0
9,3,6
4,0,4
0,0,0
7,0,7
6,1,5
11,5,6
40,23,17
19,7,12
0,0,0
13,0,13
33,0,33
15,0,15
1,0,1
1,0,1
14,4,10
1,7,-6
26,1,25
0,0,0
0,0,0
3,4,-1
0,0,0
3,1,2
6,1,5
4,0,4
3,2,1
0,0,0
1,0,1
1,3,-2
0,0,0
6,1,5
3,0,3
0,0,0
14,1,13
16,11,5
5,0,5
0,0,0
5,7,-2
6,4,2
3,3,0
1,0,1
2,4,-2
1,1,0
3,0,3
0,0,0
4,1,3
10,0,10
6,1,5
1,0,1
1,4,-3
25,5,20
8,1,7
0,1,-1
14,0,14
15,4,11
5,2,3
7,0,7
13,13,0
21,0,21
11,0,11
0,2,-2
12,1,11
2,4,-2
0,0,0
1,1,0
2,0,2
14,5,9
1,1,0
0,0,0
2,2,0
1,0,1
33,1,32
2,4,-2
2,0,2
2,0,2
2,0,2
17,1,16
12,20,-8
10,20,-10
14,14,0
2,0,2
3,2,1
0,0,0
0,1,-1
14,20,-6
1,1,0
39,4,35
4,0,4
5,29,-24
14,1,13
20,5,15
0,0,0
0,5,-5
1,0,1
2,4,-2
57,35,22
0,0,0
0,0,0
24,0,24
21,2,19
7,3,4
2,12,-10
12,1,11
2,0,2
1,0,1
1,1,0
10,18,-8
0,8,-8
1,0,1
4,5,-1
0,1,-1
1,0,1
4,1,3
4,10,-6
6,0,6
0,0,0
9,0,9
6,4,2
11,1,10
4,3,1
2,1,1
43,1,42
1,17,-16
0,3,-3
8,5,3
0,5,-5
4,4,0
4,0,4
2,0,2
8,1,7
2,0,2
7,0,7
6,6,0
7,0,7
7,1,6
3,0,3
0,0,0
2,0,2
2,3,-1
0,0,0
3,5,-2
4,0,4
2,1,1
12,5,7
3,1,2
25,0,25
17,6,11
10,1,9
16,2,14
2,0,2
0,0,0
0,1,-1
1,0,1
3,0,3
9,3,6
0,0,0
2,1,1
0,0,0
4,0,4
2,1,1
1,0,1
17,1,16
10,4,6
0,0,0
0,0,0
12,7,5
9,11,-2
5,3,2
2,0,2
2,2,0
16,5,11
0,1,-1
11,10,1
0,0,0
7,1,6
17,6,11
4,1,3
4,0,4
0,0,0
13,51,-38
6,2,4
8,6,2
4,7,-3
6,2,4
2,29,-27
6,2,4
6,1,5
5,2,3
15,2,13
33,5,28
3,5,-2
8,0,8
0,0,0
0,10,-10
3,0,3
0,1,-1
4,0,4
3,1,2
6,4,2
4,0,4
1,1,0
0,0,0
1,1,0
28,77,-49
1,7,-6
5,1,4
2,0,2
14,4,10
0,1,-1
12,4,8
11,3,8
0,0,0
0,0,0
27,0,27
6,0,6
0,0,0
8,8,0
5,3,2
10,2,8
10,7,3
3,0,3
5,1,4
5,9,-4
27,1,26
26,4,22
6,4,2
7,1,6
21,3,18
8,5,3
4,0,4
1,0,1
14,0,14
15,0,15
25,10,15
0,0,0
2,2,0
7,1,6
8,0,8
2,2,0
0,0,0
7,0,7
23,6,17
13,13,0
42,1,41
4,4,0
0,0,0
8,1,7
6,4,2
3,2,1
2,0,2
0,3,-3
0,5,-5
0,0,0
19,1,18
16,0,16
26,4,22
3,0,3
45,0,45
0,5,-5
1,0,1
0,0,0
1,2,-1
3,0,3
3,0,3
12,35,-23
4,1,3
2,8,-6
6,2,4
8,1,7
24,48,-24
7,10,-3
4,2,2
0,0,0
7,0,7
45,1,44
5,8,-3
9,1,8
7,2,5
30,1,29
0,0,0
2,1,1
2,9,-7
3,1,2
4,0,4
4,0,4
4,4,0
0,0,0
9,0,9
0,2,-2
0,2,-2
8,0,8
1,3,-2
2,0,2
8,2,6
2,2,0
6,11,-5
14,0,14
3,5,-2
2,3,-1
5,12,-7
22,1,21
13,1,12
14,0,14
0,0,0
3,37,-34
6,0,6
2,4,-2
1,3,-2
12,0,12
23,25,-2
8,10,-2
3,0,3
2,0,2
0,0,0
1,0,1
20,6,14
5,0,5
1,0,1
0,0,0
1,0,1
17,4,13
8,1,7
5,0,5
2,28,-26
32,1,31
2,0,2
2,12,-10
5,10,-5
15,11,4
28,0,28
0,0,0
